distance_km,nb_arrets,volume_total_m3,part_caisson_special,duree_min
944.57,19,12.31,0.403,1517.9
565.93,12,7.71,0.576,949.3
1040.22,20,2.99,0.223,1571.1
858.03,17,12.59,0.255,1279.6
176.42,15,23.11,0.487,508.1
1172.45,19,16.36,0.303,1762.1
930.09,13,12.9,0.442,1349.5
958.25,16,4.44,0.276,1524.1
214.77,9,7.55,0.129,445.7
578.94,20,8.49,0.447,1050.4
489.0,14,18.83,0.079,861.3
1117.24,17,21.29,0.119,1719.2
797.57,12,21.84,0.376,1308.7
999.72,18,23.66,0.448,1606.8
571.06,6,23.61,0.537,943.4
326.78,6,22.97,0.164,589.1
696.68,13,3.58,0.066,1047.9
142.11,16,5.03,0.574,373.3
1005.22,17,8.7,0.093,1440.3
783.78,12,14.16,0.119,1194.9
926.64,15,4.13,0.175,1391.0
470.61,13,20.61,0.318,799.1
1166.89,20,15.57,0.53,1820.3
1079.23,15,13.93,0.456,1639.7
949.57,11,5.64,0.425,1289.1
289.94,20,7.57,0.105,615.4
597.39,6,5.53,0.215,885.7
119.5,20,20.74,0.287,526.0
244.35,7,14.85,0.088,421.2
841.85,9,18.17,0.164,1270.0
911.58,18,8.51,0.185,1468.9
1163.29,16,10.17,0.076,1764.3
438.18,20,10.91,0.33,858.0
488.62,16,18.72,0.423,891.0
600.6,15,18.99,0.042,998.1
284.1,10,6.55,0.289,553.8
216.81,5,22.71,0.469,470.9
607.55,6,4.65,0.449,914.4
326.41,9,21.71,0.489,647.4
826.89,5,4.21,0.269,1180.9
563.98,13,7.82,0.492,933.9
1010.93,17,20.62,0.144,1621.8
861.3,20,5.95,0.216,1412.3
422.97,12,11.1,0.106,702.9
1010.45,19,11.9,0.28,1499.0
979.38,20,7.4,0.235,1601.7
507.85,18,17.63,0.145,956.1
395.81,12,20.73,0.451,680.6
841.22,10,21.24,0.188,1255.2
227.92,20,9.47,0.164,625.2
295.9,8,13.68,0.079,530.7
78.32,11,7.46,0.263,273.6
959.22,6,7.39,0.182,1398.9
821.28,17,5.55,0.222,1237.2
866.84,15,22.68,0.142,1348.2
952.22,6,21.54,0.458,1404.0
588.57,8,19.1,0.558,965.9
712.68,13,13.39,0.299,1154.4
227.97,13,12.79,0.386,569.8
199.42,17,13.65,0.52,559.7
825.3,9,13.8,0.599,1263.6
602.34,19,11.56,0.368,1048.2
708.72,12,4.9,0.534,1093.3
934.45,18,4.76,0.545,1456.7
787.23,8,22.95,0.475,1222.1
695.54,5,12.6,0.277,1045.1
701.9,5,22.97,0.049,1075.7
413.46,10,5.6,0.009,679.5
104.82,20,14.2,0.286,428.2
563.49,5,6.57,0.297,823.3
312.48,10,7.57,0.244,568.7
531.64,6,2.66,0.341,787.1
1034.35,19,4.62,0.331,1683.7
334.35,15,22.17,0.502,702.0
135.88,17,9.07,0.065,455.9
387.96,16,15.38,0.135,810.1
401.76,15,12.23,0.476,772.5
817.97,17,10.81,0.509,1417.8
699.45,5,13.7,0.597,1015.5
955.8,18,6.12,0.524,1498.7
820.67,16,23.75,0.534,1320.9
529.22,16,20.0,0.189,942.8
989.84,11,18.32,0.241,1492.9
258.68,17,12.31,0.161,641.5
95.66,11,5.36,0.364,327.6
171.75,5,22.25,0.563,465.8
886.27,19,9.51,0.207,1402.8
591.92,8,3.1,0.334,864.7
252.24,6,9.53,0.178,574.8
636.18,14,19.48,0.102,1081.4
242.11,8,15.7,0.117,454.6
856.84,18,18.52,0.035,1355.1
574.16,12,19.46,0.57,937.7
500.55,5,6.66,0.242,781.7
410.71,20,22.32,0.5,864.2
782.22,13,11.64,0.409,1223.9
478.85,9,16.06,0.115,790.1
169.04,15,2.05,0.105,459.6
203.35,13,23.85,0.487,508.9
1156.94,5,8.18,0.159,1535.9
