index_i,index_j,geodesique_km,routier_km,asymetrie_km,ratio
4,5,334.981,433.89,0.78,1.2953
4,6,332.158,432.635,0.69,1.3025
4,8,329.932,423.16,0.16,1.2826
4,9,325.722,418.32,0.24,1.2843
4,12,327.673,422.28,3.0,1.2887
4,14,321.341,413.86,1.76,1.2879
4,15,333.122,426.11,0.8,1.2791
4,19,353.368,450.415,0.61,1.2746
4,25,312.502,404.035,0.55,1.2929
4,26,320.023,409.25,1.16,1.2788
4,28,326.721,425.75,0.7,1.3031
4,32,285.337,363.735,1.37,1.2748
4,33,343.276,437.485,0.89,1.2744
4,34,309.07,399.27,0.84,1.2918
4,35,333.605,425.005,0.87,1.274
4,36,305.961,381.715,1.45,1.2476
4,37,378.728,487.725,0.91,1.2878
4,38,365.426,486.615,0.39,1.3316
4,43,327.754,530.93,0.4,1.6199
4,44,311.812,476.07,0.58,1.5268
4,45,303.862,494.57,0.12,1.6276
4,49,285.813,369.375,1.31,1.2924
4,50,257.74,337.405,1.21,1.3091
4,52,223.334,285.76,0.92,1.2795
4,55,226.125,290.415,1.03,1.2843
4,59,219.507,281.8,0.66,1.2838
4,60,222.748,294.76,1.04,1.3233
4,62,204.198,264.33,0.94,1.2945
4,65,202.628,262.055,1.03,1.2933
4,68,169.257,219.72,1.04,1.2981
4,69,115.28,165.555,1.61,1.4361
4,70,121.332,175.48,1.56,1.4463
4,73,105.573,166.13,1.08,1.5736
4,76,150.038,206.065,1.25,1.3734
4,78,201.097,227.72,1.18,1.1324
4,79,229.52,262.875,1.17,1.1453
4,80,199.529,236.205,1.33,1.1838
4,81,207.463,252.305,1.17,1.2161
4,82,184.41,276.505,1.23,1.4994
4,84,184.075,225.52,9.58,1.2252
4,85,141.332,198.07,28.18,1.4015
4,89,30.826,33.86,0.06,1.0984
4,90,26.947,36.9,0.02,1.3694
4,91,13.76,15.71,0.06,1.1417
4,96,109.28,128.76,0.7,1.1783
4,97,92.764,119.285,0.71,1.2859
4,98,135.113,153.94,9.58,1.1393
4,99,163.489,193.24,9.64,1.182
4,101,180.679,213.53,0.08,1.1818
5,6,2.823,4.685,0.41,1.6596
5,8,13.401,16.815,2.59,1.2548
5,9,15.185,16.895,0.57,1.1126
5,12,15.732,16.985,0.11,1.0796
5,14,16.915,22.33,0.26,1.3201
5,15,11.725,18.05,0.66,1.5394
5,19,25.473,34.65,2.64,1.3603
5,25,22.542,33.53,3.56,1.4874
5,26,14.967,24.235,0.37,1.6192
5,28,19.764,23.225,3.65,1.1751
5,32,59.116,82.075,3.05,1.3884
5,33,68.687,123.91,31.06,1.804
5,34,58.131,93.1,16.22,1.6016
5,35,60.081,111.33,31.24,1.853
5,36,34.418,52.105,8.25,1.5139
5,37,59.5,79.67,0.78,1.339
5,38,56.416,78.56,0.26,1.3925
5,43,103.472,132.735,3.33,1.2828
5,44,68.446,77.87,3.52,1.1377
5,45,86.645,96.375,2.81,1.1123
5,49,163.552,184.3,2.82,1.1269
5,50,169.538,194.095,2.81,1.1448
5,52,120.205,168.8,1.32,1.4043
5,55,115.541,150.895,0.11,1.306
5,59,120.729,155.905,0.07,1.2914
