,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,0.000,62.800,167.680,280.420,430.360,22.240,21.710,13.560,7.270,13.050,23.170,24.550,11.360,19.500,20.390,5.110,8.420,10.570,13.800,21.430,12.820,20.390,30.120,23.670,20.000,30.770,27.480,16.400,15.240,19.370,42.540,78.810,79.680,127.060,88.870,114.590,52.420,60.720,59.860,62.330,58.950,110.160,62.730,123.260,68.310,87.160,161.750,186.130,140.240,175.160,184.880,141.120,165.530,162.800,146.120,147.030,144.960,110.380,130.950,152.010,184.150,203.140,188.810,199.880,172.970,221.010,230.820,254.450,216.700,280.130,271.960,275.250,283.010,299.570,312.850,323.750,252.380,254.850,201.060,134.230,177.670,175.010,285.080,261.380,326.450,310.840,313.090,385.310,425.760,457.650,437.640,407.160,496.430,585.610,552.730,565.960,544.740,535.270,465.580,504.920,466.010,557.740,581.870,524.630,552.850
1,63.490,0.000,227.260,340.000,489.940,81.820,81.290,67.450,66.720,72.630,82.760,84.130,72.630,72.040,79.970,65.380,66.340,70.160,62.200,38.820,61.220,79.970,89.700,83.260,79.580,90.360,87.060,67.930,67.780,67.550,72.650,138.390,139.260,186.640,148.460,174.170,112.010,3.580,23.080,39.640,38.530,74.850,122.310,104.080,120.850,139.700,155.440,130.860,133.930,202.920,237.420,200.710,225.120,222.380,205.700,206.620,204.540,169.960,190.530,211.600,243.730,262.730,248.390,259.460,232.550,280.590,290.400,314.040,276.280,339.710,331.540,334.840,342.590,359.150,372.430,383.330,311.970,314.440,260.640,193.810,237.260,234.590,344.660,320.960,386.030,370.420,372.670,444.890,485.340,517.230,497.230,466.740,556.010,645.190,612.310,625.540,604.320,594.850,525.170,564.500,525.600,617.320,641.450,584.210,612.440
2,168.940,229.100,0.000,132.270,282.220,173.250,172.720,163.340,162.980,157.940,165.650,175.560,160.520,166.420,152.730,165.460,175.590,169.150,167.850,195.510,179.120,152.130,141.750,155.640,154.420,143.510,149.570,167.720,165.840,170.690,195.810,115.480,102.800,176.780,138.600,164.320,120.740,227.010,226.160,227.460,225.250,275.290,113.130,270.480,215.520,234.380,308.960,333.340,287.450,235.640,218.650,162.480,7.960,12.800,21.880,15.360,19.050,63.350,38.640,17.170,20.060,39.730,25.780,35.800,8.880,57.570,58.990,84.910,63.510,131.980,123.810,127.110,134.860,151.430,164.700,175.600,104.240,106.710,61.480,95.860,108.250,90.170,201.600,170.850,242.970,171.260,173.510,237.160,277.620,309.510,289.500,259.010,348.280,437.470,404.580,417.810,396.590,387.130,317.440,356.780,317.870,409.590,433.730,376.490,404.710
3,280.050,340.200,138.290,0.000,167.320,284.350,283.830,274.440,274.090,269.050,276.750,286.670,271.630,277.520,263.840,276.560,286.700,280.260,278.960,306.610,290.220,263.230,252.850,266.740,265.530,254.610,260.680,278.830,276.950,281.800,306.920,226.580,213.900,287.890,249.710,275.420,231.850,338.120,337.270,338.570,336.360,386.390,224.240,381.580,326.630,345.480,420.070,444.450,398.560,290.020,260.960,231.520,136.150,120.970,141.750,140.760,138.340,174.450,149.750,132.330,145.090,122.800,114.720,124.730,133.580,109.100,96.750,66.380,66.760,1.690,6.890,4.130,8.070,15.060,36.510,45.590,36.200,51.780,173.500,173.660,164.610,163.090,200.050,169.300,241.420,136.320,99.140,119.800,162.720,194.610,174.610,144.120,233.390,322.570,289.690,302.920,281.700,272.230,200.080,239.410,200.510,292.230,316.360,261.590,289.820
4,429.190,489.350,287.440,166.300,0.000,433.500,432.980,423.590,423.230,418.190,425.900,435.810,420.770,426.670,412.980,425.710,435.840,429.410,428.100,455.760,439.370,412.380,402.000,415.890,414.670,403.760,409.830,427.970,426.100,430.950,456.060,375.730,363.050,437.040,398.850,424.570,380.990,487.270,486.410,487.710,485.500,535.540,373.380,530.730,475.780,494.630,390.190,593.590,547.710,368.770,336.800,302.450,285.300,270.110,290.900,289.900,287.490,323.600,298.890,281.470,294.240,271.940,263.860,273.880,282.720,261.540,249.190,235.630,219.200,164.750,176.260,179.560,161.190,165.590,104.390,207.040,205.440,202.010,227.130,262.290,235.540,251.720,275.890,245.140,230.310,212.160,142.370,134.660,2.550,33.890,36.890,14.750,80.800,169.980,137.100,150.330,129.110,119.640,158.730,198.060,154.590,213.490,237.620,123.880,139.580
5,21.210,81.360,171.600,284.340,434.280,0.000,4.480,19.880,15.520,17.180,10.030,3.360,16.930,27.010,24.310,17.720,18.070,9.600,22.710,32.070,31.380,24.310,27.150,18.570,23.920,31.750,24.050,25.040,21.400,28.010,51.180,82.730,83.600,108.380,84.990,95.710,47.980,79.280,78.430,80.890,77.510,128.720,66.650,131.070,76.110,94.970,169.550,193.930,148.040,182.970,192.690,145.040,169.460,166.720,150.040,150.960,148.880,114.300,134.870,155.940,188.070,207.070,192.730,203.800,176.890,224.930,234.740,258.380,220.620,284.050,275.880,279.180,286.930,303.490,316.770,327.670,256.310,258.780,204.980,138.150,181.590,178.930,289.000,265.300,330.370,314.760,317.010,389.230,429.680,461.570,441.570,411.080,500.350,589.530,556.650,569.880,548.660,539.190,469.510,508.840,469.940,561.660,585.790,528.550,556.780
6,21.080,81.240,169.610,282.350,432.290,4.890,0.000,19.750,15.390,17.050,5.250,4.210,16.800,26.880,24.180,17.590,19.030,9.430,22.590,34.180,31.260,21.250,25.510,16.920,20.300,30.100,22.400,24.910,21.270,27.880,51.060,80.740,81.610,106.740,83.350,94.060,46.330,79.150,78.300,80.770,77.390,128.590,66.530,130.940,75.990,94.840,169.430,193.810,147.920,182.840,192.560,144.920,167.460,164.730,148.050,148.960,146.890,112.310,132.880,153.940,186.080,205.070,190.740,201.810,174.900,222.940,232.750,256.380,218.630,282.060,273.890,277.190,284.940,301.500,314.780,325.680,254.320,256.780,202.990,138.020,181.470,178.810,288.880,265.180,330.240,312.770,315.020,387.240,427.690,459.580,439.570,409.090,498.360,587.540,554.660,567.890,546.670,537.200,467.510,506.850,467.950,559.670,583.800,526.560,554.780
7,13.120,68.320,160.660,273.400,423.350,23.980,23.450,0.000,7.980,5.520,17.370,26.290,4.560,7.160,10.690,10.380,19.770,15.240,5.810,33.770,17.380,12.630,24.900,17.290,12.250,23.760,22.260,4.920,2.470,8.050,31.220,71.800,72.660,120.040,81.860,107.580,45.410,66.230,65.380,62.880,64.470,110.700,53.510,111.260,56.310,75.160,149.750,174.130,128.240,163.160,172.880,131.900,158.520,155.780,139.110,140.020,137.940,103.360,123.940,145.000,177.130,196.130,181.800,192.870,165.950,213.990,223.800,247.440,209.680,273.110,264.940,268.240,275.990,292.560,305.830,316.730,245.370,247.840,194.040,125.010,168.450,165.790,275.860,252.160,317.230,303.820,306.080,378.290,418.750,450.640,430.630,400.140,489.410,578.600,545.710,558.940,537.720,528.260,458.570,497.910,459.000,550.720,574.860,517.620,545.840
8,7.030,67.040,160.390,273.140,423.080,18.110,17.580,7.120,0.000,5.160,16.380,20.420,4.170,13.800,13.110,4.290,13.680,8.870,8.370,33.450,17.060,13.110,22.830,16.390,12.720,23.490,20.200,10.700,9.530,13.670,36.840,71.530,72.390,119.780,81.590,107.310,45.140,64.950,64.100,66.570,63.190,114.390,55.450,117.560,62.610,81.460,156.040,180.420,134.540,169.460,179.180,133.840,158.250,155.520,138.840,139.750,137.670,103.100,123.670,144.730,176.860,195.860,181.530,192.600,165.690,213.730,223.540,247.170,209.410,272.850,264.670,267.970,275.730,292.290,305.570,316.470,245.100,247.570,193.770,126.940,170.390,167.730,277.800,254.100,319.170,303.560,305.810,378.020,418.480,450.370,430.360,399.880,489.150,578.330,545.450,558.680,537.460,527.990,458.300,497.640,458.730,550.460,574.590,517.350,545.570
9,12.310,72.460,155.760,268.500,418.440,16.610,16.090,6.350,4.790,0.000,11.850,18.930,3.400,11.530,6.280,8.820,18.960,12.520,10.030,38.870,22.480,8.470,18.200,11.750,8.080,18.860,15.560,10.680,8.220,13.800,36.980,66.890,67.760,115.140,76.950,102.670,40.500,70.380,69.530,71.990,68.610,119.820,50.810,115.590,60.640,79.490,154.080,178.460,132.570,167.490,177.210,129.200,153.610,150.880,134.200,135.110,133.040,98.460,119.030,140.090,172.230,191.220,176.890,187.960,161.050,209.090,218.900,242.530,204.780,268.210,260.040,263.340,271.090,287.650,300.930,311.830,240.460,242.930,189.140,122.310,165.750,163.090,273.160,249.460,314.530,298.920,301.170,373.390,413.840,445.730,425.720,395.240,484.510,573.690,540.810,554.040,532.820,523.350,453.660,493.000,454.090,545.820,569.950,512.710,540.930
