nom,gouvernorat,lat_ancienne,lon_ancienne,lat_nouvelle,lon_nouvelle,ecart_km,statut
Depot El Ghazala,Ariana,36.893,10.19,36.968573,10.121985,10.35,REPLI GOUV.
Depot Bizerte,Bizerte,37.2744,9.8739,37.189774,10.180326,28.77,ÉCART FORT
Depot Sousse,Sousse,35.8256,10.6411,35.792107,10.653852,3.89,OK
Depot Sfax,Sfax,34.7406,10.7603,34.73566,10.737519,2.16,OK
Depot Gabes,Gabes,33.8815,10.0982,33.887808,10.10044,0.73,REPLI GOUV.
La Marsa,Tunis,36.8782,10.3247,36.879088,10.327678,0.28,OK
Carthage,Tunis,36.8528,10.323,36.854808,10.330992,0.75,OK
Le Bardo,Tunis,36.8092,10.14,36.813997,10.136302,0.63,OK
El Menzah,Tunis,36.838,10.183,36.835613,10.158361,2.21,OK
Bab Bhar,Tunis,36.8,10.185,36.800822,10.199351,1.28,OK
La Goulette,Tunis,36.8181,10.305,36.815928,10.304238,0.25,OK
Sidi Bou Said,Tunis,36.871,10.347,36.871094,10.349052,0.18,OK
El Omrane,Tunis,36.818,10.165,36.821258,10.153177,1.12,OK
Ezzouhour,Tunis,36.792,10.14,36.794397,10.135586,0.48,OK
El Kabaria,Tunis,36.76,10.205,36.742286,10.191811,2.29,OK
Ariana Ville,Ariana,36.8665,10.194,36.865693,10.168727,2.26,OK
Raoued,Ariana,36.94,10.23,36.953597,10.189194,3.94,OK
La Soukra,Ariana,36.875,10.25,36.874975,10.245427,0.41,OK
Ettadhamen,Ariana,36.842,10.114,36.833839,10.106146,1.15,OK
Kalaat el-Andalous,Ariana,37.05,10.135,37.062451,10.118145,2.04,OK
Sidi Thabet,Ariana,36.916,10.073,36.908511,10.04255,2.84,OK
Ben Arous,Ben Arous,36.753,10.231,36.751686,10.224507,0.6,OK
Hammam Lif,Ben Arous,36.728,10.34,36.731379,10.336398,0.49,OK
Rades,Ben Arous,36.768,10.275,36.767891,10.272462,0.23,OK
Megrine,Ben Arous,36.766,10.236,36.770335,10.231589,0.62,OK
Mornag,Ben Arous,36.587213,10.24376,36.587213,10.24376,0.0,OK
Ezzahra,Ben Arous,36.744,10.308,36.74045,10.302946,0.6,OK
Manouba,Manouba,36.808,10.097,36.811331,10.094704,0.42,OK
Den Den,Manouba,36.81,10.12,36.805315,10.112249,0.87,OK
Oued Ellil,Manouba,36.823,10.06,36.829759,10.012897,4.27,OK
Tebourba,Manouba,36.832,9.842,36.822039,9.859016,1.88,OK
Nabeul,Nabeul,36.456,10.738,36.45129,10.735591,0.57,OK
Hammamet,Nabeul,36.401266,10.557283,36.401266,10.557283,0.0,OK
Kelibia,Nabeul,36.847,11.094,36.845656,11.09357,0.15,OK
Korba,Nabeul,36.578,10.858,36.572886,10.857624,0.57,OK
Menzel Temime,Nabeul,36.78,10.987,36.780713,10.993911,0.62,OK
Grombalia,Nabeul,36.602,10.5,36.598423,10.49904,0.41,OK
Bizerte Ville,Bizerte,37.2744,9.8739,37.27209,9.870857,0.37,OK
Menzel Bourguiba,Bizerte,37.15,9.789,37.154987,9.79259,0.64,OK
Mateur,Bizerte,37.04,9.666,37.038598,9.667697,0.22,OK
Ras Jebel,Bizerte,37.215,10.118,37.214619,10.12456,0.58,OK
Sejnane,Bizerte,37.136888,9.244003,37.136888,9.244003,0.0,OK
Zaghouan,Zaghouan,36.402,10.143,36.399475,10.144635,0.32,OK
Beja Ville,Beja,36.725,9.181,36.723675,9.185382,0.42,OK
Medjez el-Bab,Beja,36.649,9.613,36.64715,9.616516,0.38,OK
Testour,Beja,36.553,9.443,36.552014,9.441861,0.15,OK
Jendouba Ville,Jendouba,36.501,8.78,36.496718,8.775699,0.61,OK
Tabarka,Jendouba,36.954,8.758,36.954561,8.757383,0.08,OK
Bou Salem,Jendouba,36.611,8.972,36.607408,8.969653,0.45,OK
Le Kef Ville,Le Kef,36.182,8.715,36.178449,8.707347,0.79,OK
Dahmani,Le Kef,35.945,8.828,35.942442,8.828435,0.29,OK
Siliana Ville,Siliana,36.085,9.371,36.089453,9.360982,1.03,OK
Sousse Ville,Sousse,35.8256,10.6411,35.828828,10.640525,0.36,OK
Msaken,Sousse,35.728,10.58,35.725258,10.583284,0.43,OK
Kalaa Kebira,Sousse,35.868456,10.4533,35.868456,10.4533,0.0,OK
Hammam Sousse,Sousse,35.86,10.594,35.874979,10.593518,1.66,OK
Akouda,Sousse,35.869,10.566,35.905241,10.562074,4.04,OK
Enfidha,Sousse,36.135,10.38,36.134119,10.377992,0.21,OK
Sidi Bou Ali,Sousse,35.952,10.47,35.970228,10.425247,4.52,OK
Kalaa Seghira,Sousse,35.798837,10.471729,35.798837,10.471729,0.0,OK
Monastir Ville,Monastir,35.778,10.826,35.770758,10.828051,0.82,OK
Moknine,Monastir,35.633,10.901,35.628257,10.900133,0.53,OK
Jemmal,Monastir,35.621,10.755,35.62393,10.759236,0.5,OK
Ksar Hellal,Monastir,35.645,10.89,35.64439,10.88914,0.1,OK
Sahline,Monastir,35.751,10.713,35.741374,10.72195,1.34,OK
Mahdia Ville,Mahdia,35.504,11.062,35.503642,11.068243,0.57,OK
Ksour Essef,Mahdia,35.418,11.0,35.416283,10.998717,0.22,OK
Chebba,Mahdia,35.237,11.115,35.236548,11.112971,0.19,OK
El Jem,Mahdia,35.3,10.713,35.296644,10.71284,0.37,OK
Sfax Ville,Sfax,34.7406,10.7603,34.736169,10.766236,0.73,OK
Sakiet Ezzit,Sfax,34.8,10.77,34.802382,10.761311,0.84,OK
Sakiet Eddaier,Sfax,34.778,10.782,34.789623,10.780042,1.3,OK
Chihia,Sfax,34.7829,10.746738,34.7829,10.746738,0.0,OK
Thyna,Sfax,34.667,10.703,34.688015,10.707506,2.37,OK
Mahares,Sfax,34.53,10.5,34.524359,10.506322,0.85,OK
Kerkennah,Sfax,34.643445,11.037579,34.643445,11.037579,0.0,OK
Jebeniana,Sfax,35.035,10.905,35.035133,10.909054,0.37,OK
El Hencha,Sfax,35.122888,10.741542,35.122888,10.741542,0.0,OK
Kairouan Ville,Kairouan,35.678,10.096,35.67101,10.10062,0.88,OK
Sbikha,Kairouan,35.933,10.0,35.95195,10.029667,3.4,OK
Haffouz,Kairouan,35.6165,9.735915,35.6165,9.735915,0.0,OK
Chebika,Kairouan,35.65887,9.927648,35.65887,9.927648,0.0,OK
Kasserine Ville,Kasserine,35.167,8.836,35.168765,8.836565,0.2,OK
Sbeitla,Kasserine,35.237,9.12,35.240338,9.120342,0.37,OK
Feriana,Kasserine,34.95,8.57,34.946648,8.566311,0.5,OK
Sidi Bouzid Ville,Sidi Bouzid,35.038,9.484,35.038239,9.48653,0.23,OK
Regueb,Sidi Bouzid,34.858,9.783,34.8542,9.801559,1.75,OK
Meknassy,Sidi Bouzid,34.626,9.612,34.604771,9.602246,2.52,OK
