index,nom,latitude,longitude,lat_proposee,lon_proposee,deplacement_km,snap_actuel_m,snap_propose_m,decision
0,Depot El Ghazala,36.893,10.19,,,,24.49,,aucun resultat
7,Le Bardo,36.8092,10.14,36.8139969,10.1363018,0.62631676163397,2.4,13.4,rejet : pas de gain
9,Bab Bhar,36.8,10.185,34.7328001,10.7713182,235.41220778229098,0.39,22.34,rejet : deplacement suspect
13,Ezzouhour,36.792,10.14,35.15881,8.8307812,216.2863414907041,7.08,23.78,rejet : deplacement suspect
14,El Kabaria,36.76,10.205,36.7422859,10.191811,2.2916163291823857,1.74,1.81,rejet : pas de gain
16,Raoued,36.94,10.23,36.9535973,10.1891941,3.9355169382830018,1277.23,6.48,ACCEPTE
17,La Soukra,36.875,10.25,36.8749751,10.2454267,0.4077519058461792,19.82,16.25,rejet : pas de gain
19,Kalaat el-Andalous,37.05,10.135,37.0624508,10.118145,2.0388373508907263,422.41,6.42,ACCEPTE
22,Hammam Lif,36.728,10.34,36.7313788,10.3363985,0.4940504686252184,10.76,12.65,rejet : pas de gain
25,Mornag,36.677,10.29,36.5872133,10.2437597,10.787912234070186,57.96,371.17,rejet : deplacement suspect
28,Den Den,36.81,10.12,36.8053155,10.1122488,0.8652601786223633,6.7,15.47,rejet : pas de gain
29,Oued Ellil,36.823,10.06,36.8297587,10.0128966,4.268677021587449,7.88,132.95,rejet : pas de gain
32,Hammamet,36.4,10.616,36.4012665,10.5572827,5.269135654192084,22.46,62.16,rejet : deplacement suspect
35,Menzel Temime,36.78,10.987,36.7807127,10.9939105,0.62192942403123,38.57,14.59,rejet : pas de gain
36,Grombalia,36.602,10.5,36.5984231,10.4990402,0.4061131750323859,4.72,9.65,rejet : pas de gain
38,Menzel Bourguiba,37.15,9.789,37.1549869,9.79259,0.6387571417149995,3.67,15.43,rejet : pas de gain
39,Mateur,37.04,9.666,37.0385985,9.6676974,0.21678495260197067,1.12,4.97,rejet : pas de gain
46,Jendouba Ville,36.501,8.78,36.4967177,8.775699,0.6117998825533902,7.81,36.18,rejet : pas de gain
53,Msaken,35.728,10.58,35.7252583,10.5832842,0.42523855794696414,26.76,17.14,rejet : pas de gain
55,Hammam Sousse,35.86,10.594,35.8749788,10.5935183,1.6625652012072771,2.43,4.64,rejet : pas de gain
57,Enfidha,36.135,10.38,36.1341194,10.3779916,0.20549442400250115,6.25,12.01,rejet : pas de gain
58,Sidi Bou Ali,35.952,10.47,35.9702281,10.4252468,4.515403340025451,82.67,96.53,rejet : pas de gain
63,Ksar Hellal,35.645,10.89,35.6443898,10.8891403,0.10317891163807007,9.63,7.58,rejet : pas de gain
66,Ksour Essef,35.418,11.0,35.4162835,10.9987172,0.22325388260178342,7.96,4.27,rejet : pas de gain
68,El Jem,35.3,10.713,35.2966435,10.71284,0.372674661459739,28.16,11.32,rejet : pas de gain
70,Sakiet Ezzit,34.8,10.77,34.8023823,10.7613107,0.8379144995829386,22.6,1.45,rejet : pas de gain
72,Chihia,34.745,10.7,34.7829,10.7467379,5.998841862328394,1.45,1.41,rejet : deplacement suspect
74,Mahares,34.53,10.5,34.5243588,10.5063219,0.85351826470616,16.83,46.01,rejet : pas de gain
75,Kerkennah,34.69,11.18,34.6434455,11.0375795,14.038295330070698,125.38,18.16,rejet : deplacement suspect
77,El Hencha,35.08,10.53,35.1228878,10.7415421,19.86564816650413,909.06,8.8,rejet : deplacement suspect
79,Sbikha,35.933,10.0,35.9519497,10.0296673,3.403903453419936,239.95,342.14,rejet : pas de gain
81,Chebika,35.73,9.913,35.65887,9.9276484,8.002702610442963,1454.64,301.04,rejet : deplacement suspect
83,Sbeitla,35.237,9.12,35.2403383,9.1203423,0.37167575003765363,80.51,210.41,rejet : pas de gain
84,Feriana,34.95,8.57,34.9466476,8.5663107,0.5018861763262897,6.53,7.36,rejet : pas de gain
89,Mareth,33.64,10.28,33.617159,10.2882317,2.646053781243016,19.19,4.58,rejet : pas de gain
91,Metouia,33.967,10.0,33.9589064,10.0014342,0.9074893271232704,57.4,1.57,ACCEPTE
95,Ben Gardane,33.138,11.22,32.8123428,11.3041784,36.963973243671106,6.63,893.79,rejet : deplacement suspect
99,Metlaoui,34.32,8.4,34.315723,8.4018294,0.503431893019464,22.1,10.05,rejet : pas de gain
101,Tozeur Ville,33.92,8.133,33.9239001,8.1370639,0.5730271022623055,0.71,5.96,rejet : pas de gain
104,Douz,33.466,9.02,33.4571102,9.0249829,1.0893852032915834,0.61,4.69,rejet : pas de gain
