campagne,horodatage,limite_s,penalite,caissons,premiere_solution,metaheuristique,nb_vehicules,statut,distance_km,vehicules_utilises,lots_servis,lots_non_servis,ids_non_servis,duree_s
strategies,2026-07-21T23:05:17,60,,True,PATH_CHEAPEST_ARC,GUIDED_LOCAL_SEARCH,11,resolu,4319.5,7,120,0,,60.0
strategies,2026-07-21T23:06:17,60,,True,PATH_CHEAPEST_ARC,TABU_SEARCH,11,resolu,4090.8,7,120,0,,60.0
strategies,2026-07-21T23:07:17,60,,True,PATH_CHEAPEST_ARC,SIMULATED_ANNEALING,11,resolu,4796.3,8,120,0,,60.0
strategies,2026-07-21T23:08:17,60,,True,SAVINGS,GUIDED_LOCAL_SEARCH,11,resolu,4150.4,7,120,0,,60.0
strategies,2026-07-21T23:09:17,60,,True,SAVINGS,TABU_SEARCH,11,resolu,4259.2,8,120,0,,60.0
strategies,2026-07-21T23:10:17,60,,True,SAVINGS,SIMULATED_ANNEALING,11,resolu,4486.9,8,120,0,,60.0
strategies,2026-07-21T23:11:17,60,,True,PARALLEL_CHEAPEST_INSERTION,GUIDED_LOCAL_SEARCH,11,resolu,4150.3,7,120,0,,60.0
strategies,2026-07-21T23:12:17,60,,True,PARALLEL_CHEAPEST_INSERTION,TABU_SEARCH,11,resolu,4035.1,9,120,0,,60.0
strategies,2026-07-21T23:13:17,60,,True,PARALLEL_CHEAPEST_INSERTION,SIMULATED_ANNEALING,11,resolu,4203.9,8,120,0,,60.0
strategies,2026-07-21T23:14:17,60,,True,CHRISTOFIDES,GUIDED_LOCAL_SEARCH,11,resolu,4232.7,7,120,0,,60.0
strategies,2026-07-21T23:15:03,60,,True,CHRISTOFIDES,TABU_SEARCH,11,resolu,4165.8,7,120,0,,46.2
strategies,2026-07-21T23:16:03,60,,True,CHRISTOFIDES,SIMULATED_ANNEALING,11,resolu,4548.3,9,120,0,,60.0
