campagne,horodatage,limite_s,penalite,caissons,cout_fixe,premiere_solution,metaheuristique,nb_vehicules,statut,distance_km,vehicules_utilises,lots_servis,lots_non_servis,ids_non_servis,duree_s
strategies,2026-07-21T23:49:15,60,5000000,True,100000,PATH_CHEAPEST_ARC,GUIDED_LOCAL_SEARCH,11,resolu,4794.5,7,120,0,,60.0
strategies,2026-07-21T23:49:41,60,5000000,True,100000,PATH_CHEAPEST_ARC,TABU_SEARCH,11,resolu,5039.1,7,120,0,,25.9
strategies,2026-07-21T23:50:41,60,5000000,True,100000,PATH_CHEAPEST_ARC,SIMULATED_ANNEALING,11,resolu,5315.8,7,120,0,,60.0
strategies,2026-07-21T23:51:41,60,5000000,True,100000,SAVINGS,GUIDED_LOCAL_SEARCH,11,resolu,4869.2,7,120,0,,60.0
strategies,2026-07-21T23:52:41,60,5000000,True,100000,SAVINGS,TABU_SEARCH,11,resolu,4901.8,7,120,0,,60.0
strategies,2026-07-21T23:53:41,60,5000000,True,100000,SAVINGS,SIMULATED_ANNEALING,11,resolu,5246.6,7,120,0,,60.0
strategies,2026-07-21T23:54:41,60,5000000,True,100000,PARALLEL_CHEAPEST_INSERTION,GUIDED_LOCAL_SEARCH,11,resolu,4758.9,7,120,0,,60.0
strategies,2026-07-21T23:55:19,60,5000000,True,100000,PARALLEL_CHEAPEST_INSERTION,TABU_SEARCH,11,resolu,4819.5,7,120,0,,37.7
strategies,2026-07-21T23:56:19,60,5000000,True,100000,PARALLEL_CHEAPEST_INSERTION,SIMULATED_ANNEALING,11,resolu,5063.8,7,120,0,,60.0
strategies,2026-07-21T23:57:19,60,5000000,True,100000,CHRISTOFIDES,GUIDED_LOCAL_SEARCH,11,resolu,4790.0,7,120,0,,60.0
strategies,2026-07-21T23:58:19,60,5000000,True,100000,CHRISTOFIDES,TABU_SEARCH,11,resolu,4794.5,7,120,0,,60.0
strategies,2026-07-21T23:59:19,60,5000000,True,100000,CHRISTOFIDES,SIMULATED_ANNEALING,11,resolu,5304.5,7,120,0,,60.0
