campagne,horodatage,limite_s,penalite,caissons,premiere_solution,metaheuristique,nb_vehicules,statut,distance_km,vehicules_utilises,lots_servis,lots_non_servis,ids_non_servis,duree_s
temps,2026-07-21T22:47:02,10,,False,,,11,resolu,3130.3,8,120,0,,10.0
temps,2026-07-21T22:47:32,30,,False,,,11,resolu,3118.6,8,120,0,,30.0
temps,2026-07-21T22:48:32,60,,False,,,11,resolu,3036.6,8,120,0,,60.0
temps,2026-07-21T22:50:32,120,,False,,,11,resolu,3028.0,8,120,0,,120.0
temps,2026-07-21T22:55:32,300,,False,,,11,resolu,3028.0,8,120,0,,300.0
temps,2026-07-21T22:55:42,10,,True,,,11,resolu,4421.2,8,120,0,,10.0
temps,2026-07-21T22:56:12,30,,True,,,11,resolu,4359.7,7,120,0,,30.0
temps,2026-07-21T22:57:12,60,,True,,,11,resolu,4319.5,7,120,0,,60.0
temps,2026-07-21T22:59:12,120,,True,,,11,resolu,4100.1,8,120,0,,120.0
temps,2026-07-21T23:04:12,300,,True,,,11,resolu,4096.3,9,120,0,,300.0
